TIME,DATA_A,DATA_B
0.0,41,45
0.2,41,80
0.4,44,73
0.6,46,23
0.8,9,34
1.0,66,47
1.2,27,11
1.4,29,80
1.6,94,30
1.8,35,6
2.0,43,40
2.2,59,17
2.4,93,52
2.6,31,100
2.8,18,47
3.0,11,81
3.2,90,42
3.4,0,59
3.6,46,26
3.8,28,2
4.0,13,76
4.2,40,71
4.4,56,22
4.6,44,11
4.8,93,11
5.0,3,49
5.2,100,27
5.4,75,75
5.6,35,58
5.8,37,28
6.0,32,75
6.2,35,2
6.4,53,0
6.6,94,27
6.8,24,23
7.0,52,5
7.2,12,86
7.4,48,89
7.6,50,80
7.8,73,26
8.0,18,72
8.2,87,94
8.4,82,70
8.6,75,17
8.8,7,68
9.0,30,53
9.2,12,13
9.4,31,49
9.6,47,42
9.8,62,30
10.0,94,96
10.2,6,19
10.4,42,100
10.6,1,39
10.8,20,5
11.0,30,14
11.2,17,50
11.4,58,28
11.6,36,41
11.8,46,71
12.0,8,68
12.2,27,88
12.4,82,92
12.6,5,76
12.8,20,28
13.0,60,44
13.2,46,81
13.4,5,24
13.6,35,42
13.8,53,32
14.0,4,20
14.2,43,90
14.4,7,50
14.6,96,2
14.8,1,87
15.0,48,95
15.2,47,21
15.4,42,6
15.6,38,43
15.8,10,60
16.0,7,97
16.2,92,65
16.4,5,69
16.6,52,37
16.8,32,1
17.0,43,22
17.2,0,21
17.4,71,55
17.6,56,10
17.8,39,25
18.0,65,25
18.2,73,32
18.4,26,32
18.6,3,12
18.8,27,96
19.0,77,86
19.2,81,54
19.4,100,4
19.6,60,33
19.8,4,4
20.0,27,49
20.2,73,65
20.4,16,27
20.6,33,44
20.8,74,80
21.0,19,43
21.2,96,47
21.4,89,87
21.6,81,42
21.8,57,21
22.0,59,68
22.2,19,17
22.4,3,30
22.6,30,100
22.8,15,74
23.0,19,6
23.2,29,98
23.4,12,3
23.6,18,66
23.8,87,80
