TIME,DATA_A,DATA_B
0.0,100,94
0.2,27,27
0.4,12,44
0.6,3,65
0.8,17,84
1.0,64,41
1.2,75,99
1.4,19,27
1.6,61,35
1.8,92,18
2.0,7,22
2.2,57,99
2.4,32,0
2.6,4,50
2.8,14,65
3.0,82,21
3.2,67,13
3.4,36,97
3.6,32,96
3.8,79,28
4.0,16,5
4.2,84,40
4.4,8,20
4.6,11,31
4.8,37,51
5.0,68,60
5.2,29,68
5.4,28,69
5.6,52,66
5.8,69,36
6.0,75,74
6.2,49,95
6.4,99,41
6.6,94,30
6.8,38,49
7.0,13,56
7.2,2,81
7.4,41,83
7.6,36,39
7.8,33,13
8.0,54,73
8.2,10,21
8.4,27,95
8.6,59,84
8.8,43,97
9.0,27,28
9.2,50,5
9.4,66,55
9.6,13,8
9.8,2,10
10.0,37,72
10.2,24,9
10.4,15,20
10.6,89,20
10.8,80,57
11.0,88,56
11.2,82,87
11.4,44,86
11.6,88,69
11.8,15,94
12.0,30,68
12.2,49,21
12.4,67,23
12.6,8,39
12.8,14,28
13.0,11,8
13.2,42,75
13.4,78,56
13.6,50,98
13.8,80,81
14.0,89,33
14.2,19,85
14.4,32,92
14.6,30,36
14.8,66,56
15.0,23,21
15.2,22,18
15.4,99,68
15.6,25,66
15.8,69,69
16.0,66,93
16.2,5,15
16.4,9,13
16.6,78,16
16.8,8,79
17.0,50,45
17.2,27,77
17.4,86,30
17.6,95,10
17.8,83,70
18.0,3,9
18.2,28,99
18.4,62,90
18.6,54,21
18.8,73,39
19.0,32,96
19.2,93,75
19.4,93,55
19.6,91,63
19.8,34,23
20.0,54,59
20.2,68,34
20.4,64,64
20.6,57,0
20.8,32,23
21.0,21,29
21.2,12,83
21.4,89,39
21.6,53,27
21.8,58,57
22.0,11,60
22.2,22,44
22.4,82,31
22.6,77,12
22.8,12,95
23.0,23,23
23.2,3,57
23.4,13,48
23.6,72,27
23.8,36,93
