TIME,DATA_A,DATA_B
0.0,81,33
0.2,0,98
0.4,28,14
0.6,73,0
0.8,46,97
1.0,30,15
1.2,36,8
1.4,40,56
1.6,96,55
1.8,24,75
2.0,90,61
2.2,70,33
2.4,15,25
2.6,26,23
2.8,64,63
3.0,49,95
3.2,48,73
3.4,72,94
3.6,89,76
3.8,97,74
4.0,65,17
4.2,22,41
4.4,33,0
4.6,62,6
4.8,87,53
5.0,34,38
5.2,73,24
5.4,21,57
5.6,5,72
5.8,30,76
6.0,96,18
6.2,89,79
6.4,55,11
6.6,61,27
6.8,25,59
7.0,84,52
7.2,4,20
7.4,8,82
7.6,37,23
7.8,59,17
8.0,36,9
8.2,20,23
8.4,51,63
8.6,13,31
8.8,75,71
9.0,81,28
9.2,96,52
9.4,7,55
9.6,52,30
9.8,59,45
10.0,34,64
10.2,79,99
10.4,27,39
10.6,25,41
10.8,81,42
11.0,23,69
11.2,26,88
11.4,48,81
11.6,80,21
11.8,82,11
12.0,81,89
12.2,15,21
12.4,25,90
12.6,26,73
12.8,32,71
13.0,13,0
13.2,20,99
13.4,74,68
13.6,66,26
13.8,19,10
14.0,90,81
14.2,88,86
14.4,63,16
14.6,1,94
14.8,91,67
15.0,61,4
15.2,43,2
15.4,47,93
15.6,74,34
15.8,85,0
16.0,29,87
16.2,14,95
16.4,83,4
16.6,2,55
16.8,90,63
17.0,64,95
17.2,65,85
17.4,76,76
17.6,77,87
17.8,39,97
18.0,97,96
18.2,47,23
18.4,97,11
18.6,73,50
18.8,35,66
19.0,85,40
19.2,37,96
19.4,7,18
19.6,56,43
19.8,34,50
20.0,18,72
20.2,25,59
20.4,40,36
20.6,4,99
20.8,65,25
21.0,7,13
21.2,11,36
21.4,44,42
21.6,44,80
21.8,71,24
22.0,72,78
22.2,10,88
22.4,23,43
22.6,36,84
22.8,77,88
23.0,99,34
23.2,3,0
23.4,43,23
23.6,6,34
23.8,13,55
