TIME,DATA_A,DATA_B
0.0,29,28
0.2,78,36
0.4,55,8
0.6,84,12
0.8,74,47
1.0,7,52
1.2,95,39
1.4,6,83
1.6,2,13
1.8,55,6
2.0,81,73
2.2,65,93
2.4,25,4
2.6,61,94
2.8,87,50
3.0,78,98
3.2,37,85
3.4,87,31
3.6,45,30
3.8,97,2
4.0,14,86
4.2,43,51
4.4,44,60
4.6,2,31
4.8,2,33
5.0,69,25
5.2,35,45
5.4,84,46
5.6,16,51
5.8,12,7
6.0,98,18
6.2,45,62
6.4,55,81
6.6,60,0
6.8,30,30
7.0,97,74
7.2,0,73
7.4,3,100
7.6,84,2
7.8,22,81
8.0,77,22
8.2,50,30
8.4,78,93
8.6,65,51
8.8,45,52
9.0,47,46
9.2,33,60
9.4,87,9
9.6,59,6
9.8,36,33
10.0,95,43
10.2,4,33
10.4,69,72
10.6,48,86
10.8,50,33
11.0,97,61
11.2,3,1
11.4,45,14
11.6,15,16
11.8,79,11
12.0,54,87
12.2,43,100
12.4,15,46
12.6,27,24
12.8,6,93
13.0,64,61
13.2,64,62
13.4,60,26
13.6,15,53
13.8,84,22
14.0,22,1
14.2,39,22
14.4,90,66
14.6,46,84
14.8,34,48
15.0,94,99
15.2,17,98
15.4,46,23
15.6,19,53
15.8,37,99
16.0,60,84
16.2,92,64
16.4,5,22
16.6,44,31
16.8,18,73
17.0,40,71
17.2,41,36
17.4,54,100
17.6,49,14
17.8,86,92
18.0,2,47
18.2,14,42
18.4,92,85
18.6,53,26
18.8,0,43
19.0,1,6
19.2,67,34
19.4,15,73
19.6,43,8
19.8,83,52
20.0,36,29
20.2,34,70
20.4,91,51
20.6,94,55
20.8,6,54
21.0,2,89
21.2,62,60
21.4,67,55
21.6,100,6
21.8,8,84
22.0,19,5
22.2,99,83
22.4,13,23
22.6,11,70
22.8,26,73
23.0,66,43
23.2,64,86
23.4,22,23
23.6,44,71
23.8,86,9
