TIME,DATA_A,DATA_B
0.0,59,54
0.2,100,87
0.4,79,59
0.6,98,84
0.8,1,63
1.0,29,29
1.2,39,54
1.4,62,42
1.6,74,92
1.8,30,29
2.0,14,53
2.2,11,83
2.4,70,44
2.6,9,93
2.8,55,16
3.0,30,70
3.2,8,92
3.4,70,99
3.6,81,8
3.8,25,50
4.0,22,32
4.2,19,8
4.4,88,68
4.6,18,29
4.8,16,61
5.0,40,36
5.2,54,21
5.4,100,0
5.6,65,81
5.8,47,26
6.0,9,8
6.2,99,70
6.4,3,59
6.6,13,83
6.8,93,39
7.0,87,47
7.2,83,30
7.4,34,46
7.6,16,20
7.8,36,27
8.0,59,46
8.2,4,62
8.4,70,58
8.6,11,59
8.8,86,19
9.0,15,66
9.2,16,99
9.4,12,41
9.6,70,81
9.8,59,75
10.0,86,11
10.2,16,8
10.4,83,72
10.6,17,74
10.8,50,53
11.0,86,44
11.2,60,15
11.4,21,0
11.6,89,40
11.8,35,16
12.0,74,51
12.2,39,33
12.4,26,18
12.6,63,46
12.8,54,31
13.0,50,96
13.2,65,52
13.4,53,0
13.6,26,84
13.8,61,31
14.0,41,39
14.2,73,1
14.4,3,99
14.6,38,52
14.8,69,37
15.0,71,85
15.2,13,50
15.4,12,99
15.6,98,60
15.8,43,21
16.0,16,36
16.2,9,9
16.4,4,84
16.6,98,84
16.8,18,60
17.0,29,99
17.2,98,91
17.4,38,73
17.6,2,35
17.8,0,48
18.0,65,27
18.2,60,57
18.4,68,33
18.6,23,47
18.8,1,66
19.0,91,29
19.2,30,24
19.4,24,68
19.6,15,73
19.8,31,43
20.0,39,18
20.2,99,96
20.4,78,28
20.6,97,19
20.8,77,18
21.0,30,2
21.2,74,85
21.4,18,84
21.6,1,49
21.8,91,36
22.0,38,100
22.2,32,57
22.4,47,67
22.6,47,49
22.8,62,32
23.0,65,70
23.2,61,79
23.4,58,78
23.6,42,5
23.8,1,43
