TIME,DATA_A,DATA_B
0.0,100,27
0.2,80,11
0.4,70,28
0.6,86,87
0.8,95,48
1.0,77,5
1.2,95,32
1.4,82,98
1.6,49,26
1.8,82,54
2.0,34,25
2.2,6,90
2.4,14,28
2.6,34,91
2.8,82,24
3.0,14,55
3.2,14,64
3.4,87,37
3.6,32,53
3.8,96,39
4.0,95,77
4.2,60,25
4.4,18,22
4.6,72,82
4.8,75,13
5.0,85,61
5.2,68,33
5.4,72,93
5.6,26,64
5.8,85,89
6.0,29,29
6.2,81,62
6.4,64,33
6.6,76,18
6.8,79,21
7.0,71,35
7.2,28,26
7.4,16,90
7.6,52,36
7.8,66,69
8.0,97,46
8.2,84,2
8.4,46,84
8.6,51,8
8.8,45,16
9.0,40,32
9.2,23,56
9.4,47,20
9.6,64,91
9.8,78,98
10.0,15,78
10.2,78,9
10.4,14,100
10.6,64,83
10.8,31,77
11.0,26,93
11.2,41,51
11.4,45,22
11.6,74,74
11.8,33,91
12.0,65,18
12.2,39,24
12.4,60,97
12.6,53,78
12.8,86,92
13.0,21,66
13.2,47,62
13.4,62,38
13.6,29,9
13.8,15,50
14.0,92,17
14.2,34,66
14.4,4,72
14.6,63,18
14.8,85,84
15.0,10,80
15.2,14,90
15.4,63,32
15.6,56,94
15.8,52,11
16.0,43,9
16.2,70,7
16.4,9,74
16.6,42,11
16.8,45,86
17.0,69,54
17.2,82,72
17.4,38,64
17.6,22,78
17.8,14,73
18.0,96,77
18.2,2,48
18.4,96,30
18.6,50,93
18.8,55,25
19.0,4,82
19.2,22,7
19.4,14,38
19.6,47,71
19.8,100,69
20.0,43,24
20.2,29,71
20.4,0,52
20.6,16,46
20.8,58,76
21.0,65,62
21.2,8,17
21.4,5,1
21.6,24,18
21.8,27,29
22.0,71,10
22.2,20,46
22.4,90,22
22.6,22,69
22.8,86,88
23.0,52,6
23.2,57,45
23.4,37,16
23.6,3,26
23.8,96,15
