TIME,DATA_A,DATA_B
0.0,95,99
0.2,50,99
0.4,61,54
0.6,74,86
0.8,6,65
1.0,38,82
1.2,46,80
1.4,55,62
1.6,33,54
1.8,31,59
2.0,12,75
2.2,81,92
2.4,63,39
2.6,95,58
2.8,64,79
3.0,45,86
3.2,10,60
3.4,52,75
3.6,87,16
3.8,12,62
4.0,68,88
4.2,89,73
4.4,9,25
4.6,26,74
4.8,51,88
5.0,9,64
5.2,5,84
5.4,8,31
5.6,70,2
5.8,28,52
6.0,25,58
6.2,45,92
6.4,28,24
6.6,83,52
6.8,91,5
7.0,8,38
7.2,26,58
7.4,8,16
7.6,71,17
7.8,76,98
8.0,21,97
8.2,78,94
8.4,100,13
8.6,29,17
8.8,20,19
9.0,16,32
9.2,3,3
9.4,65,93
9.6,55,54
9.8,57,79
10.0,37,68
10.2,51,38
10.4,22,87
10.6,34,27
10.8,2,33
11.0,38,99
11.2,31,1
11.4,100,60
11.6,63,66
11.8,59,97
12.0,65,74
12.2,27,50
12.4,86,95
12.6,54,86
12.8,73,91
13.0,78,79
13.2,92,38
13.4,96,98
13.6,23,58
13.8,44,37
14.0,72,53
14.2,10,45
14.4,73,65
14.6,63,1
14.8,89,88
15.0,4,21
15.2,24,86
15.4,95,22
15.6,72,37
15.8,59,99
16.0,35,77
16.2,55,32
16.4,64,22
16.6,3,94
16.8,15,39
17.0,92,62
17.2,80,70
17.4,83,94
17.6,21,21
17.8,33,57
18.0,30,91
18.2,57,33
18.4,48,100
18.6,42,31
18.8,19,19
19.0,45,20
19.2,96,75
19.4,66,0
19.6,0,7
19.8,49,42
20.0,98,48
20.2,6,33
20.4,86,69
20.6,97,22
20.8,86,33
21.0,9,79
21.2,11,52
21.4,47,100
21.6,32,71
21.8,61,81
22.0,86,18
22.2,56,9
22.4,3,26
22.6,87,34
22.8,100,47
23.0,26,99
23.2,12,83
23.4,96,2
23.6,60,70
23.8,42,99
