TIME,DATA_A,DATA_B
0.0,74,44
0.2,37,40
0.4,42,71
0.6,28,69
0.8,44,1
1.0,38,99
1.2,88,82
1.4,9,82
1.6,71,35
1.8,16,44
2.0,41,97
2.2,42,7
2.4,57,70
2.6,43,28
2.8,18,54
3.0,38,34
3.2,34,1
3.4,37,17
3.6,65,4
3.8,75,16
4.0,43,13
4.2,51,41
4.4,63,82
4.6,58,48
4.8,40,33
5.0,51,24
5.2,26,31
5.4,3,18
5.6,31,99
5.8,97,72
6.0,78,38
6.2,32,4
6.4,55,44
6.6,50,63
6.8,14,46
7.0,75,100
7.2,48,72
7.4,85,21
7.6,13,64
7.8,76,100
8.0,21,16
8.2,29,73
8.4,20,58
8.6,25,21
8.8,57,20
9.0,66,52
9.2,21,9
9.4,48,88
9.6,34,59
9.8,44,38
10.0,87,4
10.2,26,2
10.4,94,46
10.6,67,92
10.8,92,7
11.0,68,41
11.2,63,86
11.4,38,2
11.6,43,30
11.8,46,62
12.0,73,56
12.2,68,92
12.4,72,50
12.6,66,37
12.8,83,36
13.0,17,24
13.2,60,22
13.4,6,8
13.6,71,0
13.8,2,33
14.0,56,96
14.2,63,18
14.4,6,34
14.6,97,13
14.8,27,5
15.0,96,97
15.2,42,72
15.4,63,78
15.6,34,28
15.8,36,2
16.0,68,97
16.2,10,23
16.4,59,54
16.6,97,11
16.8,61,81
17.0,25,36
17.2,52,1
17.4,32,71
17.6,50,41
17.8,88,95
18.0,37,11
18.2,58,99
18.4,89,13
18.6,94,96
18.8,82,45
19.0,83,77
19.2,91,83
19.4,42,81
19.6,53,85
19.8,26,55
20.0,68,81
20.2,50,43
20.4,72,86
20.6,86,75
20.8,52,11
21.0,21,79
21.2,41,17
21.4,97,52
21.6,20,21
21.8,44,23
22.0,79,58
22.2,64,70
22.4,9,77
22.6,40,25
22.8,55,24
23.0,35,18
23.2,20,58
23.4,94,32
23.6,40,98
23.8,68,100
