TIME,DATA_A,DATA_B
0.0,9,23
0.2,85,70
0.4,21,9
0.6,80,78
0.8,82,28
1.0,71,59
1.2,17,30
1.4,70,86
1.6,54,49
1.8,0,7
2.0,45,81
2.2,10,66
2.4,27,37
2.6,99,67
2.8,61,55
3.0,77,41
3.2,38,89
3.4,29,45
3.6,6,81
3.8,36,64
4.0,98,10
4.2,29,22
4.4,1,27
4.6,9,6
4.8,42,57
5.0,5,47
5.2,32,92
5.4,96,8
5.6,65,8
5.8,4,59
6.0,16,62
6.2,35,83
6.4,62,70
6.6,3,24
6.8,91,65
7.0,89,30
7.2,28,24
7.4,34,70
7.6,82,37
7.8,77,45
8.0,31,55
8.2,7,70
8.4,75,54
8.6,87,0
8.8,59,73
9.0,60,26
9.2,34,16
9.4,66,52
9.6,77,1
9.8,71,92
10.0,8,55
10.2,73,51
10.4,25,12
10.6,97,55
10.8,75,100
11.0,72,14
11.2,6,12
11.4,23,73
11.6,78,42
11.8,40,78
12.0,56,9
12.2,52,84
12.4,61,23
12.6,48,21
12.8,51,17
13.0,59,42
13.2,9,23
13.4,39,91
13.6,43,29
13.8,61,16
14.0,45,30
14.2,91,55
14.4,45,60
14.6,10,21
14.8,30,8
15.0,2,86
15.2,31,36
15.4,19,95
15.6,75,19
15.8,97,8
16.0,19,51
16.2,13,66
16.4,48,93
16.6,74,24
16.8,5,92
17.0,43,20
17.2,46,50
17.4,37,90
17.6,62,41
17.8,80,47
18.0,45,77
18.2,91,51
18.4,49,52
18.6,84,48
18.8,77,4
19.0,94,38
19.2,68,97
19.4,66,47
19.6,27,85
19.8,33,52
20.0,43,50
20.2,93,75
20.4,17,41
20.6,49,82
20.8,51,96
21.0,35,73
21.2,100,75
21.4,1,27
21.6,20,52
21.8,69,46
22.0,46,68
22.2,17,99
22.4,100,0
22.6,97,82
22.8,30,72
23.0,52,10
23.2,94,89
23.4,11,84
23.6,12,75
23.8,48,77
