TIME,DATA_A,DATA_B
0.0,7,70
0.2,92,91
0.4,48,74
0.6,47,25
0.8,70,8
1.0,60,66
1.2,60,4
1.4,52,24
1.6,40,20
1.8,68,75
2.0,50,11
2.2,65,98
2.4,10,45
2.6,62,0
2.8,77,91
3.0,7,93
3.2,66,23
3.4,28,18
3.6,29,97
3.8,92,74
4.0,72,54
4.2,10,53
4.4,51,18
4.6,77,20
4.8,98,97
5.0,25,44
5.2,89,75
5.4,85,43
5.6,13,90
5.8,69,82
6.0,41,90
6.2,26,53
6.4,71,63
6.6,26,94
6.8,51,9
7.0,42,65
7.2,28,99
7.4,87,75
7.6,65,72
7.8,1,4
8.0,7,85
8.2,20,50
8.4,40,72
8.6,47,75
8.8,83,43
9.0,93,86
9.2,8,26
9.4,94,60
9.6,84,66
9.8,11,84
10.0,44,7
10.2,82,88
10.4,23,78
10.6,66,17
10.8,62,56
11.0,49,66
11.2,83,53
11.4,58,75
11.6,15,85
11.8,81,5
12.0,60,75
12.2,96,41
12.4,62,82
12.6,21,100
12.8,81,70
13.0,83,91
13.2,85,99
13.4,57,84
13.6,58,57
13.8,79,18
14.0,44,58
14.2,14,13
14.4,100,29
14.6,98,31
14.8,40,28
15.0,0,90
15.2,57,29
15.4,53,69
15.6,88,30
15.8,58,78
16.0,19,91
16.2,100,50
16.4,13,71
16.6,57,36
16.8,35,95
17.0,39,16
17.2,58,35
17.4,100,13
17.6,67,41
17.8,93,55
18.0,89,90
18.2,37,74
18.4,70,9
18.6,10,60
18.8,17,95
19.0,1,36
19.2,74,14
19.4,61,66
19.6,79,86
19.8,9,95
20.0,70,33
20.2,82,43
20.4,50,29
20.6,8,47
20.8,74,43
21.0,8,20
21.2,46,8
21.4,87,19
21.6,6,78
21.8,77,67
22.0,96,27
22.2,74,63
22.4,23,8
22.6,30,67
22.8,59,7
23.0,65,92
23.2,58,68
23.4,13,99
23.6,82,63
23.8,92,62
