TIME,DATA_A,DATA_B
0.0,79,81
0.2,10,81
0.4,40,46
0.6,18,69
0.8,33,34
1.0,61,32
1.2,53,51
1.4,37,17
1.6,3,37
1.8,60,62
2.0,31,42
2.2,9,29
2.4,52,34
2.6,40,87
2.8,85,85
3.0,73,19
3.2,88,54
3.4,97,24
3.6,24,40
3.8,4,59
4.0,87,44
4.2,93,94
4.4,75,82
4.6,11,14
4.8,90,89
5.0,59,48
5.2,3,33
5.4,86,79
5.6,1,62
5.8,52,19
6.0,38,55
6.2,97,100
6.4,41,84
6.6,1,33
6.8,10,86
7.0,29,10
7.2,66,24
7.4,48,68
7.6,98,49
7.8,11,74
8.0,46,48
8.2,55,44
8.4,27,10
8.6,47,22
8.8,52,39
9.0,28,85
9.2,73,35
9.4,44,65
9.6,7,97
9.8,11,86
10.0,43,93
10.2,42,38
10.4,2,51
10.6,77,8
10.8,60,86
11.0,17,51
11.2,4,46
11.4,24,97
11.6,17,7
11.8,22,67
12.0,97,6
12.2,47,58
12.4,0,69
12.6,77,6
12.8,79,72
13.0,72,9
13.2,90,93
13.4,90,40
13.6,35,93
13.8,11,25
14.0,67,21
14.2,33,54
14.4,93,15
14.6,36,33
14.8,26,17
15.0,85,66
15.2,88,69
15.4,46,36
15.6,89,87
15.8,12,2
16.0,0,100
16.2,8,18
16.4,99,91
16.6,33,30
16.8,71,93
17.0,5,37
17.2,42,3
17.4,86,72
17.6,0,77
17.8,80,38
18.0,23,75
18.2,25,42
18.4,21,63
18.6,75,62
18.8,80,100
19.0,0,9
19.2,75,92
19.4,77,55
19.6,26,2
19.8,39,43
20.0,2,69
20.2,33,58
20.4,69,36
20.6,40,61
20.8,16,55
21.0,5,19
21.2,54,51
21.4,63,100
21.6,19,100
21.8,24,71
22.0,92,40
22.2,47,64
22.4,83,71
22.6,90,58
22.8,60,75
23.0,39,67
23.2,99,54
23.4,1,23
23.6,70,41
23.8,41,95
