TIME,DATA_A,DATA_B
0.0,32,86
0.2,27,98
0.4,34,91
0.6,14,73
0.8,91,86
1.0,41,79
1.2,32,12
1.4,33,71
1.6,31,63
1.8,8,9
2.0,1,34
2.2,61,89
2.4,61,93
2.6,97,26
2.8,6,51
3.0,28,11
3.2,42,54
3.4,16,88
3.6,9,22
3.8,12,39
4.0,84,45
4.2,0,10
4.4,8,35
4.6,41,89
4.8,21,94
5.0,50,84
5.2,42,7
5.4,88,10
5.6,31,76
5.8,70,62
6.0,33,51
6.2,71,33
6.4,30,7
6.6,89,48
6.8,58,45
7.0,55,72
7.2,41,17
7.4,68,1
7.6,93,65
7.8,67,30
8.0,43,79
8.2,14,45
8.4,35,21
8.6,9,80
8.8,61,15
9.0,82,68
9.2,74,98
9.4,0,61
9.6,2,62
9.8,74,10
10.0,64,28
10.2,84,1
10.4,78,4
10.6,90,78
10.8,85,74
11.0,93,14
11.2,67,36
11.4,77,28
11.6,55,40
11.8,85,65
12.0,50,85
12.2,45,71
12.4,67,96
12.6,2,85
12.8,13,76
13.0,81,46
13.2,77,58
13.4,81,87
13.6,47,7
13.8,7,25
14.0,17,75
14.2,80,5
14.4,45,77
14.6,10,49
14.8,67,41
15.0,89,7
15.2,10,22
15.4,11,59
15.6,69,0
15.8,73,47
16.0,55,80
16.2,93,10
16.4,90,8
16.6,3,77
16.8,35,19
17.0,71,95
17.2,85,86
17.4,72,81
17.6,5,57
17.8,30,13
18.0,30,76
18.2,72,19
18.4,94,18
18.6,1,55
18.8,88,38
19.0,66,57
19.2,3,11
19.4,25,35
19.6,51,47
19.8,94,0
20.0,93,29
20.2,94,94
20.4,2,39
20.6,18,40
20.8,99,60
21.0,22,64
21.2,88,23
21.4,87,74
21.6,12,42
21.8,52,57
22.0,18,74
22.2,43,70
22.4,45,21
22.6,76,37
22.8,16,56
23.0,45,76
23.2,20,85
23.4,73,97
23.6,26,90
23.8,4,65
