TIME,DATA_A,DATA_B
0.0,98,58
0.2,98,42
0.4,94,6
0.6,72,23
0.8,35,23
1.0,62,74
1.2,1,82
1.4,80,85
1.6,94,13
1.8,28,24
2.0,1,12
2.2,18,14
2.4,43,98
2.6,60,22
2.8,4,93
3.0,97,100
3.2,44,77
3.4,31,13
3.6,1,49
3.8,95,79
4.0,41,44
4.2,46,15
4.4,24,69
4.6,20,77
4.8,50,64
5.0,50,53
5.2,11,43
5.4,63,2
5.6,51,45
5.8,10,90
6.0,56,67
6.2,74,92
6.4,58,4
6.6,24,14
6.8,66,81
7.0,74,62
7.2,20,99
7.4,44,91
7.6,51,74
7.8,34,54
8.0,25,0
8.2,100,10
8.4,30,85
8.6,87,99
8.8,34,48
9.0,1,86
9.2,84,19
9.4,97,83
9.6,17,12
9.8,25,74
10.0,58,30
10.2,12,74
10.4,43,78
10.6,59,28
10.8,82,95
11.0,56,16
11.2,28,11
11.4,52,61
11.6,95,49
11.8,68,29
12.0,17,73
12.2,30,78
12.4,12,54
12.6,14,67
12.8,13,56
13.0,71,36
13.2,98,56
13.4,46,50
13.6,34,79
13.8,53,19
14.0,89,58
14.2,59,65
14.4,39,78
14.6,77,14
14.8,9,99
15.0,32,35
15.2,15,99
15.4,68,96
15.6,45,2
15.8,93,96
16.0,59,20
16.2,35,95
16.4,27,14
16.6,36,8
16.8,87,59
17.0,42,81
17.2,59,48
17.4,22,3
17.6,4,33
17.8,62,66
18.0,43,58
18.2,93,83
18.4,54,86
18.6,72,26
18.8,69,7
19.0,98,98
19.2,37,48
19.4,48,44
19.6,78,82
19.8,29,26
20.0,93,0
20.2,57,18
20.4,3,81
20.6,75,88
20.8,77,14
21.0,77,71
21.2,83,39
21.4,14,27
21.6,57,22
21.8,98,71
22.0,27,45
22.2,85,50
22.4,73,25
22.6,57,34
22.8,52,17
23.0,16,48
23.2,45,47
23.4,28,15
23.6,48,1
23.8,97,83
