TIME,DATA_A,DATA_B
0.0,72,64
0.2,55,65
0.4,30,93
0.6,45,89
0.8,54,49
1.0,53,44
1.2,25,63
1.4,33,86
1.6,21,92
1.8,15,28
2.0,98,42
2.2,6,69
2.4,73,55
2.6,72,29
2.8,77,79
3.0,11,35
3.2,8,67
3.4,90,57
3.6,54,48
3.8,59,97
4.0,53,61
4.2,53,31
4.4,62,82
4.6,69,85
4.8,94,27
5.0,29,75
5.2,68,83
5.4,95,71
5.6,70,79
5.8,1,27
6.0,57,97
6.2,27,56
6.4,24,24
6.6,48,93
6.8,63,45
7.0,88,79
7.2,50,32
7.4,28,94
7.6,51,91
7.8,75,75
8.0,25,44
8.2,70,22
8.4,6,65
8.6,79,76
8.8,33,38
9.0,11,34
9.2,55,47
9.4,82,58
9.6,36,40
9.8,59,48
10.0,96,91
10.2,81,95
10.4,86,40
10.6,54,85
10.8,4,18
11.0,66,81
11.2,46,67
11.4,51,29
11.6,42,53
11.8,14,55
12.0,31,55
12.2,41,28
12.4,77,56
12.6,86,20
12.8,60,56
13.0,21,18
13.2,26,22
13.4,70,69
13.6,22,43
13.8,26,91
14.0,60,8
14.2,40,25
14.4,77,1
14.6,20,67
14.8,93,8
15.0,77,24
15.2,44,83
15.4,91,72
15.6,7,49
15.8,52,9
16.0,59,100
16.2,82,68
16.4,86,15
16.6,15,45
16.8,81,69
17.0,57,40
17.2,58,17
17.4,17,89
17.6,100,76
17.8,99,83
18.0,29,18
18.2,51,48
18.4,57,62
18.6,1,64
18.8,77,31
19.0,5,13
19.2,97,99
19.4,6,54
19.6,25,93
19.8,1,31
20.0,8,30
20.2,26,96
20.4,19,26
20.6,51,94
20.8,44,62
21.0,46,4
21.2,62,100
21.4,20,45
21.6,88,47
21.8,26,81
22.0,98,25
22.2,29,86
22.4,31,73
22.6,10,50
22.8,62,44
23.0,35,28
23.2,97,45
23.4,91,80
23.6,80,32
23.8,48,63
