TIME,DATA_A,DATA_B
0.0,10,41
0.2,5,84
0.4,7,78
0.6,50,60
0.8,98,44
1.0,8,0
1.2,16,69
1.4,57,15
1.6,87,97
1.8,85,50
2.0,96,61
2.2,64,25
2.4,24,77
2.6,3,21
2.8,20,72
3.0,94,65
3.2,12,70
3.4,32,0
3.6,24,25
3.8,67,69
4.0,35,62
4.2,52,97
4.4,94,97
4.6,96,68
4.8,69,81
5.0,0,13
5.2,5,98
5.4,14,72
5.6,64,75
5.8,24,38
6.0,82,75
6.2,14,59
6.4,47,78
6.6,84,90
6.8,80,11
7.0,27,60
7.2,74,75
7.4,5,90
7.6,73,98
7.8,94,50
8.0,98,49
8.2,32,60
8.4,39,2
8.6,5,78
8.8,7,63
9.0,93,58
9.2,37,35
9.4,82,99
9.6,48,23
9.8,57,6
10.0,11,8
10.2,30,66
10.4,89,22
10.6,10,77
10.8,64,16
11.0,93,82
11.2,77,43
11.4,93,21
11.6,97,87
11.8,17,70
12.0,0,76
12.2,56,33
12.4,24,3
12.6,83,77
12.8,83,16
13.0,54,65
13.2,38,60
13.4,58,97
13.6,21,33
13.8,95,16
14.0,74,45
14.2,58,77
14.4,33,49
14.6,88,87
14.8,83,56
15.0,30,47
15.2,44,24
15.4,47,32
15.6,94,18
15.8,37,59
16.0,38,86
16.2,73,36
16.4,22,11
16.6,97,91
16.8,19,41
17.0,17,84
17.2,21,25
17.4,75,45
17.6,28,54
17.8,23,9
18.0,64,41
18.2,2,74
18.4,81,40
18.6,53,77
18.8,4,19
19.0,36,55
19.2,65,22
19.4,54,51
19.6,78,95
19.8,40,95
20.0,11,42
20.2,73,21
20.4,9,70
20.6,57,8
20.8,79,81
21.0,69,96
21.2,15,21
21.4,17,100
21.6,72,1
21.8,45,42
22.0,100,68
22.2,54,54
22.4,98,14
22.6,96,39
22.8,54,5
23.0,79,96
23.2,15,88
23.4,9,19
23.6,43,2
23.8,52,64
