TIME,DATA_A,DATA_B
0.0,9,79
0.2,70,47
0.4,27,73
0.6,21,18
0.8,55,58
1.0,44,70
1.2,95,8
1.4,67,9
1.6,88,14
1.8,96,29
2.0,88,2
2.2,43,66
2.4,54,5
2.6,66,6
2.8,35,30
3.0,36,52
3.2,84,59
3.4,83,75
3.6,67,90
3.8,88,26
4.0,76,50
4.2,100,62
4.4,89,93
4.6,93,39
4.8,71,99
5.0,87,85
5.2,42,30
5.4,57,1
5.6,55,95
5.8,13,31
6.0,62,46
6.2,4,51
6.4,13,41
6.6,9,88
6.8,41,67
7.0,83,69
7.2,30,36
7.4,32,26
7.6,90,40
7.8,9,70
8.0,53,72
8.2,23,91
8.4,47,81
8.6,88,13
8.8,44,56
9.0,93,43
9.2,6,12
9.4,91,29
9.6,10,21
9.8,39,92
10.0,39,76
10.2,34,100
10.4,99,7
10.6,38,38
10.8,50,8
11.0,56,19
11.2,25,50
11.4,3,21
11.6,51,60
11.8,38,12
12.0,100,86
12.2,57,47
12.4,31,56
12.6,62,46
12.8,85,53
13.0,1,52
13.2,38,15
13.4,33,17
13.6,21,50
13.8,6,98
14.0,74,43
14.2,70,26
14.4,33,61
14.6,92,74
14.8,7,11
15.0,98,85
15.2,62,62
15.4,45,86
15.6,94,42
15.8,77,24
16.0,79,23
16.2,1,18
16.4,17,30
16.6,89,50
16.8,76,98
17.0,46,65
17.2,84,28
17.4,38,92
17.6,33,55
17.8,6,11
18.0,2,44
18.2,2,98
18.4,85,38
18.6,73,79
18.8,74,87
19.0,91,50
19.2,93,68
19.4,24,40
19.6,37,49
19.8,20,35
20.0,84,70
20.2,56,92
20.4,54,68
20.6,12,63
20.8,53,48
21.0,95,92
21.2,16,81
21.4,78,80
21.6,53,7
21.8,93,3
22.0,22,22
22.2,65,80
22.4,43,77
22.6,48,2
22.8,49,91
23.0,38,37
23.2,55,100
23.4,58,17
23.6,68,89
23.8,5,76
