TIME,DATA_A,DATA_B
0.0,52,10
0.2,47,35
0.4,20,7
0.6,61,100
0.8,83,43
1.0,91,30
1.2,56,22
1.4,15,71
1.6,13,37
1.8,20,4
2.0,34,16
2.2,5,61
2.4,72,39
2.6,89,62
2.8,86,88
3.0,21,56
3.2,74,76
3.4,3,81
3.6,49,59
3.8,52,64
4.0,49,9
4.2,91,47
4.4,41,41
4.6,74,34
4.8,58,33
5.0,2,56
5.2,24,11
5.4,33,1
5.6,26,9
5.8,73,67
6.0,24,93
6.2,30,78
6.4,56,38
6.6,98,39
6.8,41,79
7.0,49,88
7.2,23,58
7.4,81,43
7.6,12,11
7.8,16,1
8.0,45,89
8.2,81,62
8.4,72,84
8.6,78,48
8.8,80,98
9.0,71,37
9.2,37,9
9.4,54,18
9.6,87,16
9.8,33,61
10.0,44,79
10.2,50,91
10.4,23,10
10.6,84,72
10.8,95,71
11.0,75,20
11.2,41,32
11.4,51,81
11.6,23,33
11.8,84,53
12.0,85,63
12.2,29,79
12.4,41,1
12.6,66,29
12.8,4,31
13.0,9,94
13.2,34,99
13.4,27,77
13.6,2,67
13.8,10,2
14.0,26,64
14.2,83,12
14.4,29,31
14.6,18,63
14.8,43,20
15.0,29,13
15.2,2,63
15.4,81,99
15.6,91,60
15.8,35,96
16.0,97,90
16.2,9,94
16.4,74,86
16.6,96,48
16.8,20,0
17.0,4,94
17.2,1,59
17.4,67,25
17.6,92,5
17.8,48,85
18.0,45,19
18.2,19,93
18.4,1,91
18.6,2,55
18.8,50,96
19.0,93,4
19.2,70,12
19.4,94,8
19.6,30,27
19.8,65,6
20.0,100,18
20.2,62,80
20.4,82,76
20.6,47,97
20.8,41,22
21.0,35,79
21.2,3,55
21.4,3,11
21.6,51,18
21.8,18,38
22.0,79,21
22.2,87,83
22.4,37,45
22.6,59,7
22.8,32,54
23.0,85,48
23.2,35,97
23.4,25,76
23.6,16,53
23.8,74,30
