TIME,DATA_A,DATA_B
0.0,48,4
0.2,71,19
0.4,19,46
0.6,95,63
0.8,67,25
1.0,42,18
1.2,82,49
1.4,51,65
1.6,26,65
1.8,24,2
2.0,2,6
2.2,36,5
2.4,51,19
2.6,64,31
2.8,15,49
3.0,46,58
3.2,94,31
3.4,47,26
3.6,1,48
3.8,76,100
4.0,76,24
4.2,40,64
4.4,31,49
4.6,49,75
4.8,58,65
5.0,23,37
5.2,17,69
5.4,60,25
5.6,13,18
5.8,91,86
6.0,97,18
6.2,99,21
6.4,85,96
6.6,33,68
6.8,6,42
7.0,79,3
7.2,31,22
7.4,95,79
7.6,26,1
7.8,68,57
8.0,49,45
8.2,38,54
8.4,83,55
8.6,19,51
8.8,81,43
9.0,83,26
9.2,10,68
9.4,51,37
9.6,23,74
9.8,79,10
10.0,69,70
10.2,34,44
10.4,47,76
10.6,99,90
10.8,64,82
11.0,4,79
11.2,43,56
11.4,17,64
11.6,21,68
11.8,74,10
12.0,57,72
12.2,88,3
12.4,27,18
12.6,94,1
12.8,35,99
13.0,40,68
13.2,11,43
13.4,51,63
13.6,23,24
13.8,13,51
14.0,96,29
14.2,70,91
14.4,36,10
14.6,90,88
14.8,12,73
15.0,39,55
15.2,34,7
15.4,0,14
15.6,53,48
15.8,92,77
16.0,8,74
16.2,35,62
16.4,33,25
16.6,63,86
16.8,94,20
17.0,93,85
17.2,89,79
17.4,63,45
17.6,15,30
17.8,27,65
18.0,73,52
18.2,20,29
18.4,94,2
18.6,57,93
18.8,97,45
19.0,23,16
19.2,39,100
19.4,12,50
19.6,82,38
19.8,67,18
20.0,66,48
20.2,2,6
20.4,18,92
20.6,6,18
20.8,12,53
21.0,18,75
21.2,14,90
21.4,2,49
21.6,28,89
21.8,22,51
22.0,77,27
22.2,56,40
22.4,53,45
22.6,36,0
22.8,83,46
23.0,33,40
23.2,96,46
23.4,63,5
23.6,89,96
23.8,23,56
